CustomerID,Lookalikes
C0025,"[('C0071', 0.9973165844676163), ('C0112', 0.9945795501550964), ('C0192', 0.9903139025779185)]"
C0026,"[('C0183', 0.9871246337314994), ('C0154', 0.9847827303126128), ('C0139', 0.9834350544812852)]"
C0027,"[('C0142', 0.9839596238072394), ('C0106', 0.9732939839261487), ('C0193', 0.9652635313221419)]"
C0028,"[('C0045', 0.9947084431662497), ('C0143', 0.994139863794131), ('C0054', 0.9880719578278715)]"
C0029,"[('C0157', 0.999635035554921), ('C0094', 0.988266059093465), ('C0144', 0.9828560608859828)]"
C0030,"[('C0038', 0.9978020115974618), ('C0047', 0.9888323155074635), ('C0176', 0.9861404563580872)]"
C0031,"[('C0076', 0.9885944811863521), ('C0052', 0.9845964548247477), ('C0129', 0.9835926275003346)]"
C0032,"[('C0083', 0.9985222944722865), ('C0151', 0.9985121980873778), ('C0077', 0.9932386544448899)]"
C0033,"[('C0058', 0.996836642043064), ('C0020', 0.9947343680437851), ('C0015', 0.9916321021432223)]"
C0034,"[('C0049', 0.9545994899156371), ('C0098', 0.9214464771440848), ('C0160', 0.9179079586932068)]"
C0035,"[('C0189', 0.9913502171871262), ('C0116', 0.9895552263074782), ('C0125', 0.9851894125823134)]"
C0036,"[('C0131', 0.9953156817167604), ('C0144', 0.9888023680449319), ('C0157', 0.9795138735901665)]"
C0037,"[('C0149', 0.989354102146574), ('C0064', 0.9841983505181733), ('C0057', 0.9636381385931135)]"
C0038,"[('C0030', 0.9978020115974618), ('C0047', 0.996534611853348), ('C0072', 0.9890252739933085)]"
C0039,"[('C0195', 0.9934030908930044), ('C0169', 0.9872929017146058), ('C0153', 0.9735733215681939)]"
C0040,"[('C0115', 0.8989280388626681), ('C0092', 0.8928248548508446), ('C0056', 0.8787825298462731)]"
C0041,"[('C0075', 0.9725782287164867), ('C0053', 0.9670939059657911), ('C0017', 0.9656674274956154)]"
C0042,"[('C0131', 0.9825317638863325), ('C0050', 0.9656173383211603), ('C0036', 0.9623003434585794)]"
C0043,"[('C0110', 0.9944905162597819), ('C0186', 0.9916955286551613), ('C0128', 0.9897835814367659)]"
C0044,"[('C0074', 0.9922943570474643), ('C0089', 0.9678104409929346), ('C0103', 0.9590872253417797)]"
C0045,"[('C0028', 0.9947084431662497), ('C0175', 0.9943697770139215), ('C0143', 0.9939321028229154)]"
C0046,"[('C0068', 0.9877334265129675), ('C0122', 0.9867034559107051), ('C0059', 0.9800689222403687)]"
C0047,"[('C0072', 0.9978873367338397), ('C0038', 0.996534611853348), ('C0030', 0.9888323155074635)]"
C0048,"[('C0107', 0.9927440259443125), ('C0011', 0.9852861628443024), ('C0006', 0.9827267444491761)]"
C0049,"[('C0034', 0.9545994899156371), ('C0160', 0.9119459729725761), ('C0098', 0.8804485296228808)]"
C0050,"[('C0185', 0.9826982685816597), ('C0125', 0.9706415717813738), ('C0042', 0.9656173383211603)]"
C0051,"[('C0114', 0.9864598274152739), ('C0170', 0.9791133533869045), ('C0023', 0.9757504312784414)]"
C0052,"[('C0120', 0.9932321329634413), ('C0129', 0.9931257563179522), ('C0076', 0.9886011402506628)]"
C0053,"[('C0182', 0.994931156417528), ('C0114', 0.9939071175715306), ('C0105', 0.9806385616677824)]"
C0054,"[('C0028', 0.9880719578278715), ('C0143', 0.9797962994840278), ('C0173', 0.972966110275931)]"
C0055,"[('C0116', 0.9884770162183649), ('C0047', 0.9881206565573333), ('C0072', 0.9854970306654481)]"
C0056,"[('C0193', 0.9848369150796125), ('C0106', 0.9793623518823921), ('C0092', 0.9546684954158385)]"
C0057,"[('C0105', 0.9952170919068666), ('C0149', 0.9922507534227564), ('C0182', 0.9875765943113777)]"
C0058,"[('C0020', 0.9976862677613333), ('C0033', 0.996836642043064), ('C0015', 0.9940259476464237)]"
C0059,"[('C0046', 0.9800689222403687), ('C0065', 0.9786940137885908), ('C0068', 0.9745883617051058)]"
C0060,"[('C0014', 0.9993553678795826), ('C0009', 0.994484895137798), ('C0198', 0.993800556295491)]"
C0061,"[('C0103', 0.9946331681088478), ('C0089', 0.9916766831140043), ('C0167', 0.9877714372853664)]"
C0062,"[('C0132', 0.9982649486426786), ('C0197', 0.9950690296254395), ('C0199', 0.9941739213723998)]"
C0063,"[('C0198', 0.9959929815233515), ('C0009', 0.9958622307885168), ('C0119', 0.9953425225794269)]"
C0064,"[('C0037', 0.9841983505181733), ('C0179', 0.9670706807204666), ('C0081', 0.9534044892620853)]"
C0065,"[('C0156', 0.9993209022111745), ('C0068', 0.9862023119265553), ('C0059', 0.9786940137885908)]"
C0066,"[('C0044', 0.9488896384739478), ('C0135', 0.9420233128589242), ('C0074', 0.9400906712058839)]"
C0067,"[('C0194', 0.9939137975013813), ('C0024', 0.9720132507676333), ('C0139', 0.9691743032044995)]"
C0068,"[('C0046', 0.9877334265129675), ('C0065', 0.9862023119265553), ('C0156', 0.9856200381625391)]"
C0069,"[('C0164', 0.9951515554909142), ('C0135', 0.9926050891241399), ('C0127', 0.9769371397794014)]"
C0070,"[('C0127', 0.9862682720257295), ('C0086', 0.9703491362579592), ('C0164', 0.9569166838354137)]"
C0071,"[('C0025', 0.9973165844676163), ('C0077', 0.9928120069947824), ('C0095', 0.9918640105111708)]"
C0072,"[('C0047', 0.9978873367338397), ('C0038', 0.9890252739933085), ('C0160', 0.987576357018921)]"
C0073,"[('C0172', 0.9988108574198904), ('C0197', 0.9945682039188792), ('C0199', 0.9945508891275056)]"
C0074,"[('C0044', 0.9922943570474643), ('C0089', 0.9810733448867556), ('C0103', 0.975004978396409)]"
C0075,"[('C0041', 0.9725782287164867), ('C0017', 0.9712749859881253), ('C0124', 0.9220682580583739)]"
C0076,"[('C0052', 0.9886011402506628), ('C0031', 0.9885944811863521), ('C0133', 0.9712415243198332)]"
C0077,"[('C0032', 0.9932386544448899), ('C0071', 0.9928120069947824), ('C0151', 0.9896385645358325)]"
C0078,"[('C0080', 0.9988832042415446), ('C0123', 0.9968876593011), ('C0128', 0.9965824898531289)]"
C0079,"[('C0117', 0.9942899819111065), ('C0183', 0.9805427844557099), ('C0067', 0.9517813975080754)]"
C0080,"[('C0128', 0.999046765249908), ('C0078', 0.9988832042415446), ('C0123', 0.9980958672030595)]"
C0081,"[('C0179', 0.9982692573729764), ('C0064', 0.9534044892620853), ('C0037', 0.9365257211908334)]"
C0082,"[('C0188', 0.9977760085409637), ('C0099', 0.9968767093895671), ('C0104', 0.9956979219631646)]"
C0083,"[('C0032', 0.9985222944722865), ('C0151', 0.9976209428774342), ('C0150', 0.9955716307065255)]"
C0084,"[('C0136', 0.9959998374642053), ('C0162', 0.9940272234331617), ('C0093', 0.9590706815009384)]"
C0085,"[('C0120', 0.9769928254451014), ('C0192', 0.9746653192247531), ('C0129', 0.9712699056807136)]"
C0086,"[('C0070', 0.9703491362579592), ('C0166', 0.94955229824499), ('C0019', 0.9366357269106643)]"
C0087,"[('C0104', 0.9986771889655169), ('C0102', 0.9982841891111485), ('C0099', 0.9977278051931803)]"
C0088,"[('C0002', 0.9960799027166513), ('C0142', 0.9927215218806207), ('C0177', 0.9800264992988084)]"
C0089,"[('C0103', 0.9994680148613457), ('C0061', 0.9916766831140043), ('C0167', 0.9892502646711367)]"
C0090,"[('C0200', 0.9702757585667078), ('C0022', 0.9652538886808827), ('C0084', 0.935253190712333)]"
C0091,"[('C0195', 0.9006268323279305), ('C0039', 0.8982277815296069), ('C0169', 0.8887479291301094)]"
C0092,"[('C0193', 0.9901373338405457), ('C0178', 0.9855313429050416), ('C0177', 0.9731224491870011)]"
C0093,"[('C0101', 0.9979231218175961), ('C0145', 0.9956557380081305), ('C0173', 0.9950755592477725)]"
C0094,"[('C0144', 0.9946111139597076), ('C0029', 0.988266059093465), ('C0157', 0.9845045418270195)]"
C0095,"[('C0083', 0.9951372548810068), ('C0032', 0.9926571133069496), ('C0130', 0.9925192109932017)]"
C0096,"[('C0013', 0.9856981054330907), ('C0155', 0.9786875482563585), ('C0171', 0.9779717859776158)]"
C0097,"[('C0128', 0.9974424091476011), ('C0080', 0.994897887021059), ('C0110', 0.9944696787077637)]"
C0098,"[('C0160', 0.9930881555317848), ('C0072', 0.9840586347210265), ('C0047', 0.9766028537163433)]"
C0099,"[('C0104', 0.9997695847290405), ('C0188', 0.9983734080712579), ('C0087', 0.9977278051931803)]"
C0100,"[('C0023', 0.9988674927091195), ('C0170', 0.992058339200497), ('C0051', 0.9696307020223113)]"
C0101,"[('C0145', 0.9988179289535768), ('C0173', 0.9984104167857913), ('C0093', 0.9979231218175961)]"
C0102,"[('C0087', 0.9982841891111485), ('C0104', 0.9970167030871241), ('C0099', 0.9951301194726739)]"
C0103,"[('C0089', 0.9994680148613457), ('C0061', 0.9946331681088478), ('C0167', 0.9926287205522534)]"
C0104,"[('C0099', 0.9997695847290405), ('C0087', 0.9986771889655169), ('C0102', 0.9970167030871241)]"
C0105,"[('C0057', 0.9952170919068666), ('C0182', 0.994863186277949), ('C0170', 0.9913912820064665)]"
C0106,"[('C0161', 0.9820208286882331), ('C0056', 0.9793623518823921), ('C0027', 0.9732939839261487)]"
C0107,"[('C0048', 0.9927440259443125), ('C0001', 0.9893604766330638), ('C0011', 0.9853606554488958)]"
C0108,"[('C0153', 0.9926668996577857), ('C0155', 0.9882462131129789), ('C0171', 0.9867079627227647)]"
C0109,"[('C0008', 0.9291303508477046), ('C0156', 0.9262365865459108), ('C0068', 0.9202375980459192)]"
C0110,"[('C0128', 0.9992214668867578), ('C0080', 0.9980254665413888), ('C0123', 0.9955269711195056)]"
C0111,"[('C0086', 0.8938838972103833), ('C0010', 0.8854359083829854), ('C0019', 0.8122271044860404)]"
C0112,"[('C0192', 0.9993830087402309), ('C0025', 0.9945795501550964), ('C0129', 0.9911431988553736)]"
C0113,"[('C0004', 0.9939871237922757), ('C0169', 0.9937732137229355), ('C0165', 0.9652196199728027)]"
C0114,"[('C0053', 0.9939071175715306), ('C0051', 0.9864598274152739), ('C0182', 0.9828003156916836)]"
C0115,"[('C0007', 0.97485721951664), ('C0178', 0.9747161371588395), ('C0146', 0.9740948027761509)]"
C0116,"[('C0189', 0.9986354644692236), ('C0035', 0.9895552263074782), ('C0055', 0.9884770162183649)]"
C0117,"[('C0183', 0.9958920019907131), ('C0079', 0.9942899819111065), ('C0154', 0.9736849261183023)]"
C0118,"[('C0152', 0.9997024380761143), ('C0184', 0.9894672367990566), ('C0137', 0.9882570758084422)]"
C0119,"[('C0063', 0.9953425225794269), ('C0062', 0.9904940165361166), ('C0009', 0.9890389953738213)]"
C0120,"[('C0129', 0.9988068781729017), ('C0052', 0.9932321329634413), ('C0192', 0.9895563254612361)]"
C0121,"[('C0062', 0.9881574345234184), ('C0119', 0.9841819919872609), ('C0132', 0.9774078717790718)]"
C0122,"[('C0018', 0.9884795107249386), ('C0046', 0.9867034559107051), ('C0068', 0.9537462713643515)]"
C0123,"[('C0080', 0.9980958672030595), ('C0078', 0.9968876593011), ('C0110', 0.9955269711195056)]"
C0124,"[('C0017', 0.9866640112793039), ('C0057', 0.9439011436720837), ('C0182', 0.9409537269679662)]"
C0125,"[('C0035', 0.9851894125823134), ('C0116', 0.9839983099760311), ('C0189', 0.9768271585514603)]"
C0126,"[('C0006', 0.9784805496644816), ('C0168', 0.9769571707780608), ('C0187', 0.9630430418071991)]"
C0127,"[('C0135', 0.9890737998295959), ('C0164', 0.9878875315278979), ('C0070', 0.9862682720257295)]"
C0128,"[('C0110', 0.9992214668867578), ('C0080', 0.999046765249908), ('C0097', 0.9974424091476011)]"
C0129,"[('C0120', 0.9988068781729017), ('C0192', 0.9937050154462764), ('C0052', 0.9931257563179522)]"
C0130,"[('C0150', 0.9999937204082153), ('C0083', 0.9953406933473793), ('C0095', 0.9925192109932017)]"
C0131,"[('C0036', 0.9953156817167604), ('C0042', 0.9825317638863325), ('C0015', 0.9820327557850471)]"
C0132,"[('C0062', 0.9982649486426786), ('C0199', 0.9959117335214651), ('C0197', 0.9958803251359553)]"
C0133,"[('C0191', 0.998459291966739), ('C0174', 0.988873464046186), ('C0052', 0.9788479078369684)]"
C0134,"[('C0161', 0.9443516780447191), ('C0106', 0.9085935963066086), ('C0027', 0.8450552892264176)]"
C0135,"[('C0164', 0.9997314516347159), ('C0069', 0.9926050891241399), ('C0127', 0.9890737998295959)]"
C0136,"[('C0084', 0.9959998374642053), ('C0162', 0.9828872499820079), ('C0175', 0.9388617794334245)]"
C0137,"[('C0184', 0.9994945093415206), ('C0152', 0.9892966433579844), ('C0118', 0.9882570758084422)]"
C0138,"[('C0021', 0.9989270812794867), ('C0173', 0.9781038411334777), ('C0093', 0.9773917016512611)]"
C0139,"[('C0024', 0.9864125315240911), ('C0183', 0.9843022324130144), ('C0194', 0.9840778979927366)]"
C0140,"[('C0123', 0.9952543121914699), ('C0005', 0.9912390418101863), ('C0080', 0.9874362410982526)]"
C0141,"[('C0041', 0.933976766873086), ('C0114', 0.9327370891999638), ('C0054', 0.9251547498253408)]"
C0142,"[('C0088', 0.9927215218806207), ('C0002', 0.9880923329674087), ('C0027', 0.9839596238072394)]"
C0143,"[('C0173', 0.9988003475281648), ('C0145', 0.9986978036900345), ('C0101', 0.9966868370176123)]"
C0144,"[('C0094', 0.9946111139597076), ('C0036', 0.9888023680449319), ('C0029', 0.9828560608859828)]"
C0145,"[('C0173', 0.9999698577125048), ('C0101', 0.9988179289535768), ('C0143', 0.9986978036900345)]"
C0146,"[('C0007', 0.9999942326269694), ('C0178', 0.9942275032380922), ('C0177', 0.9935686509639705)]"
C0147,"[('C0190', 0.9998506186369052), ('C0003', 0.9942553453615234), ('C0181', 0.9671922509382934)]"
C0148,"[('C0163', 0.9972809546755429), ('C0155', 0.9967918957423627), ('C0012', 0.9929169533148446)]"
C0149,"[('C0057', 0.9922507534227564), ('C0037', 0.989354102146574), ('C0105', 0.9851143362051599)]"
C0150,"[('C0130', 0.9999937204082153), ('C0083', 0.9955716307065255), ('C0095', 0.9924522205930448)]"
C0151,"[('C0032', 0.9985121980873778), ('C0083', 0.9976209428774342), ('C0077', 0.9896385645358325)]"
C0152,"[('C0118', 0.9997024380761143), ('C0184', 0.9897314209483516), ('C0137', 0.9892966433579844)]"
C0153,"[('C0108', 0.9926668996577857), ('C0012', 0.9845714604268296), ('C0155', 0.9823173601334659)]"
C0154,"[('C0016', 0.9870496223390064), ('C0183', 0.9848634406215452), ('C0026', 0.9847827303126128)]"
C0155,"[('C0148', 0.9967918957423627), ('C0013', 0.9921510839655094), ('C0163', 0.9897992295864906)]"
C0156,"[('C0065', 0.9993209022111745), ('C0068', 0.9856200381625391), ('C0059', 0.970789389734863)]"
C0157,"[('C0029', 0.999635035554921), ('C0094', 0.9845045418270195), ('C0144', 0.9806888040545214)]"
C0158,"[('C0118', 0.9832614497772254), ('C0152', 0.9797602062294939), ('C0184', 0.9518725087740971)]"
C0159,"[('C0005', 0.9964337459608771), ('C0186', 0.9953591856994978), ('C0177', 0.9877500025410284)]"
C0160,"[('C0098', 0.9930881555317848), ('C0047', 0.9877435401867513), ('C0072', 0.987576357018921)]"
C0161,"[('C0106', 0.9820208286882331), ('C0056', 0.9495841697289163), ('C0134', 0.9443516780447191)]"
C0162,"[('C0084', 0.9940272234331617), ('C0093', 0.9835337546750583), ('C0136', 0.9828872499820079)]"
C0163,"[('C0148', 0.9972809546755429), ('C0102', 0.9946963784746565), ('C0013', 0.99427292671185)]"
C0164,"[('C0135', 0.9997314516347159), ('C0069', 0.9951515554909142), ('C0127', 0.9878875315278979)]"
C0165,"[('C0004', 0.9840419868265131), ('C0113', 0.9652196199728027), ('C0087', 0.9567981889898183)]"
C0166,"[('C0019', 0.9964995015585066), ('C0172', 0.9909523390288616), ('C0073', 0.9873759258084783)]"
C0167,"[('C0103', 0.9926287205522534), ('C0132', 0.9898434294215271), ('C0089', 0.9892502646711367)]"
C0168,"[('C0187', 0.9778639939081721), ('C0126', 0.9769571707780608), ('C0006', 0.9493575991063994)]"
C0169,"[('C0113', 0.9937732137229355), ('C0039', 0.9872929017146058), ('C0004', 0.9809547756739331)]"
C0170,"[('C0100', 0.992058339200497), ('C0105', 0.9913912820064665), ('C0023', 0.9891147792566852)]"
C0171,"[('C0108', 0.9867079627227647), ('C0155', 0.9815233474121436), ('C0096', 0.9779717859776158)]"
C0172,"[('C0073', 0.9988108574198904), ('C0199', 0.9934338172248225), ('C0197', 0.9926845323370371)]"
C0173,"[('C0145', 0.9999698577125048), ('C0143', 0.9988003475281648), ('C0101', 0.9984104167857913)]"
C0174,"[('C0133', 0.988873464046186), ('C0191', 0.9868707421169722), ('C0001', 0.9709462047276033)]"
C0175,"[('C0045', 0.9943697770139215), ('C0028', 0.9861842520429901), ('C0143', 0.9769954879239494)]"
C0176,"[('C0030', 0.9861404563580872), ('C0189', 0.9801936918355275), ('C0038', 0.97782807495229)]"
C0177,"[('C0178', 0.9967987392956553), ('C0146', 0.9935686509639705), ('C0007', 0.9933851804104622)]"
C0178,"[('C0177', 0.9967987392956553), ('C0007', 0.9943155489448706), ('C0146', 0.9942275032380922)]"
C0179,"[('C0081', 0.9982692573729764), ('C0064', 0.9670706807204666), ('C0037', 0.9555231797205039)]"
C0181,"[('C0190', 0.970596144465753), ('C0147', 0.9671922509382934), ('C0003', 0.9396622866719826)]"
C0182,"[('C0053', 0.994931156417528), ('C0105', 0.994863186277949), ('C0057', 0.9875765943113777)]"
C0183,"[('C0117', 0.9958920019907131), ('C0026', 0.9871246337314994), ('C0154', 0.9848634406215452)]"
C0184,"[('C0137', 0.9994945093415206), ('C0152', 0.9897314209483516), ('C0118', 0.9894672367990566)]"
C0185,"[('C0050', 0.9826982685816597), ('C0016', 0.9678489302990053), ('C0125', 0.9677357137691431)]"
C0186,"[('C0005', 0.9969474860655397), ('C0159', 0.9953591856994978), ('C0043', 0.9916955286551613)]"
C0187,"[('C0006', 0.9790254134285984), ('C0168', 0.9778639939081721), ('C0126', 0.9630430418071991)]"
C0188,"[('C0099', 0.9983734080712579), ('C0082', 0.9977760085409637), ('C0104', 0.9969195315575565)]"
C0189,"[('C0116', 0.9986354644692236), ('C0035', 0.9913502171871262), ('C0055', 0.9853989484421456)]"
C0190,"[('C0147', 0.9998506186369052), ('C0003', 0.9922568323507015), ('C0181', 0.970596144465753)]"
C0191,"[('C0133', 0.998459291966739), ('C0174', 0.9868707421169722), ('C0137', 0.98536553687004)]"
C0192,"[('C0112', 0.9993830087402309), ('C0129', 0.9937050154462764), ('C0025', 0.9903139025779185)]"
C0193,"[('C0092', 0.9901373338405457), ('C0056', 0.9848369150796125), ('C0027', 0.9652635313221419)]"
C0194,"[('C0067', 0.9939137975013813), ('C0024', 0.9919769795891342), ('C0139', 0.9840778979927366)]"
C0195,"[('C0039', 0.9934030908930044), ('C0153', 0.9635218354211106), ('C0169', 0.9628972252429676)]"
C0196,"[('C0023', 0.9693437621440286), ('C0100', 0.9692484096164858), ('C0170', 0.9312593078215481)]"
C0197,"[('C0199', 0.9998757163748434), ('C0132', 0.9958803251359553), ('C0062', 0.9950690296254395)]"
C0198,"[('C0009', 0.9999780423996943), ('C0014', 0.9969528649006835), ('C0063', 0.9959929815233515)]"
C0199,"[('C0197', 0.9998757163748434), ('C0132', 0.9959117335214651), ('C0073', 0.9945508891275056)]"
C0200,"[('C0022', 0.993297638267822), ('C0021', 0.9823406269456033), ('C0138', 0.973975610367233)]"
